Tag,Question,Answer,Updated date,Answer provided by,Expiration Date
"access control, review, log","When was the last time an application/technical access review was performed on all non-human, administrator, and technical IDs on this application?","FactSet periodically reviews all internal and system accounts on each set of system architectures including Linux, VMS, Windows, Network Devices, etc.",,,
access removal,Provide the time frame for removing access of a terminated (or separated) individual and/or role changes within the organization,Within 24 hours,,,
"accounting system, upload, holdings, import, export, integrate",How many of your clients use PORTIA?,FactSet has many clients successfully integrating their data from PORTIA into FactSet.,,,
ActiveX,ActiveX,The FactSet client software uses an ActiveX control (for charting).  This control is bundled within the desktop installer.,,,
"ActiveX, HTML, Flash, Java","Is any specific desktop / browser software required on CNA devices when interacting with the sourced / cloud solution (Java Runtime, Flash, HTML5, and ActiveX)?","FactSet is an installed application.  The FactSet client software uses ActiveX for charting and HTML5.  This ActiveX control is bundled within the desktop installer. FactSet does not use Java or Flash.  

The FactSet installed client software runs on Microsoft Windows (7, 8, 8.1, 10, Server 2008R2, 2012 and 2012R2).  

FactSet also leverages Microsoft Internet Explorer, .NET, Office, and Adobe Reader.  For version compatibility, please refer to the FactSet Framework Overview at http://www.factset.com/files/download/files/pdf/FactSet_Framework_Overview.pdf 

Third-party content, exchange data, risk models, benchmarks, etc. may require separate licensing with content providers.
",,,
"addins, add-ins","Concerning FactSet installing (setup) is it possible to parametrize the FactSet installation so, that it affects only MS Excel 2010 add ons?","The FactSet add-ins for Office can be enabled/disabled using the System Wide Preferences within the FactSet Software or modifying the registry keys in HKEY_CURRENT_USER\Software\FactSet\Setup\Office.  It is possible to enable the Excel add-in and disable the Word, Outlook, and PowerPoint add-ins.",,,
"admin access, admin rights, administrator access, administrative access","Does the company restrict administrative access to desktops, laptops and PDAs to employees and third parties? ",Administrative access is restricted in some cases where appropriate based on employee role.  Third parties do not have access to client data.,,,
alert,"Does the application provide alerts, notices, to do's, or approvals? If so, describe.","FactSet supports many workflows – many of which use push mechanisms for alerts, notices and action requirements.",,,
"alert, vulnerability","Do you receive CERT Advisories from Carnegie Mellon University, CIAC or other government or educational facilities on your network and related systems?  If yes, are actions taken on these advisories to address weaknesses or vulnerabilities reported in a timely manner?",FactSet’s Security Teams monitor several sources to receive vulnerability information.  Any applicable threats are addressed in a timely manner following a thorough QA and testing process.,,,
alerting,Does the Hosting Provider review violation reports and logs every day?,"FactSet maintains an automated alert system, which pages the appropriate person / team if violations are detected.",,,
"Antivirus, anti-virus, anti-malware, antimalware",Do you use Anti-virus? Anti-malware?,"This is in place where appropriate and necessary.  This includes, but may not be limited to email gateways, file servers, file transfer servers, Citrix / shared environments, and end user machines.  FactSet employs industry standard anti-malware solutions.",8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",Do you use anti-virus on ALL systems?  Explain,"No.  As necessary and appropriate.

--
On follow-up / 2nd Pass: 

FactSet only processes properly formed text files that consist of client portfolio information.  Clients specify what columns of information in these files are collected by parsing processes.  The parsed data is then stored in the client's environment.  The original file is deleted by automated processes some time following the completion of parsing operation.  There is no interactive processes that would result in the storage and execution of binaries in a production environment.  Antivirus controls are deployed in all environments where this applies, all workstations, file servers, email gateways, file transfer gateways, and Citrix environments.  Further, FactSet leverage IDS and IPS technologies in production networks and analyzes all events via a SIEM solution.",8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",Do you use anti-virus on Email Systems?,"Virus checking is in place on production mail egress points, as well as internal mail processors.",8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",How often are workstation anti-virus scans conducted?,In real time,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",Are all virus definitions updated daily?,Auto-updates are employed.,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",How often are FULL antivirus scans performed?,Weekly,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",Describe the signature update process.,Processes are in place to ensure enterprise PCs are running latest vendor definitions.,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",How does FactSet prevent cross-contamination?,"FactSet regularly scans devices, and auto updates are employed.  FactSet maintains alerting systems which page the appropriate team/individuals if violations are detected.",8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware",Are the malicious code prevention software updated regularly?,Yes.  FactSet has anti-malware built into our endpoint protection suite which is deployed to all user machines.,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware","Are security-related products (e.g., anti-virus, personal firewall software) centrally managed or configured to ensure that unauthorized modifications or disablement cannot be made or go undetected?",All deployed security controls are centrally managed per control and leveraging tamper-resistant mechanisms.,8/26/2017,LCW,
"Antivirus, anti-virus, anti-malware, antimalware","PC antivirus version
(Talk to Ruben Velazquez in SIG to confirm version)",Microsoft System Center Endpoint Protection 2016,8/7/2017,MCW,
"Antivirus, anti-virus, anti-malware, antimalware","Server antivirus version
(Talk to Ruben Velazquez in SIG to confirm version)",McAfee VirusScan Enterprise 8.8,8/7/2017,MCW,
application age,The age of the applications deployed.,"FactSet has been providing computer based financial analysis since inception in 1978.  For a history of the various components, please see http://investor.factset.com/investors/investor-overview/factset-timeline/default.aspx.  FactSet’s current general release framework is 2016.x.  The latest update to this framework was released on January 17, 2017.",,,
"application control, hardening",Are system hardening standards / procedures documented and are all workstations hardened as per the baseline standard?,FactSet maintains baseline build standards for all workstations through a centralized corporate support services team.  FactSet leverages Active Directory to ensure consistency and enforce standards.,,,
"application control, hardening, blacklisting","Is IP blacklisting or DNS sinkholing in use? If yes, what is the source of the blacklist and how frequently is it updated? How is DNS managed within the organization and what policies exist in this area? (For example, how big is the DNS package, how old is the domain etc)","FactSet leverages manual and automatic IP blacklisting based on behavior analysis and remediation.  FactSet manages its own nameservers and also utilizes commercial, managed geoIP DNS services.",1/30/2018,JMD,
"application control, hardening, block",Does your firm allow installation of personal or non-company approved software?,FactSet employs application control technologies to prevent the installation of a blacklist of applications.,,,
App-V AppV App V,Application Virtualization Support,"The FactSet 2016 framework officially supports Microsoft App-V 5.1.

FactSet is happy to work with clients wishing to deploy FactSet using App-V and can provide a recommended sequencing guide on request.

",,,
architecture,Describe the overall technical architecture,"FactSet is an SSL-encrypted hub-and-spoke client-server solution whose connections all terminate on the east coast of the United States.  As a SaaS, FactSet performs all the business logic and computational processing on high-performance server systems housed in redundant, live datacenters.  The FactSet client software serves mainly as a client for access to data and analytics stored securely within FactSet datacenters.  The client software also acts as a conduit for integration with the Microsoft Office suite of products.  FactSet also provides real-time streaming news and trades/quotes through direct connections with worldwide exchanges and vendors, and distributes that content through 14 global points of presence (POP).  For more information, please refer to the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.",,,
architecture,framework / services ,"FactSet offers both an installable GUI, as well as access to commercial and proprietary derived/calculated content via HTTPS and SFTP.",,,
architecture,What percentage of your system is thin client? ,The FactSet client software is a thin client which connects to FactSet data centers.,,,
"architecture, hosted solution",Do you have a local solution?,"FactSet does not provide a local solution. Local solutions present the following problems: 1) Hardware implementation costs 2) Hardware maintenance costs 3) Scalability - Should your needs change, such as the need to add computation heavy securities or computation heavy analysis, local solutions may require additional hardware installation to support the increased demand 4) Problem resolution - With a hosted solution, your problem is our problem. FactSet has the ability to proactively monitor and push out fixes to bugs without client interaction 5) Enhancements - FactSet has the ability to seamlessly push out enhancements to the software that improve the user's experience",,,
"architecture, Service Oriented Architecture",Does your solution have Service Oriented Architecture?,"FactSet is a SaaS, and users typically interact with FactSet using the installed FactSet client software which communicates to FactSet’s datacenters over HTTPS and several proprietary TCP ports.  Secure webservice endpoints are available to extract fundamental commercial and derived analytical content.",,,
"architecture, thin client, thick client, SaaS","What is the application architecture a) Thick Client b) Thin Client

---

Are you an ASP or a SaaS?

--

Do you have full control over the software, hardware, and Operating System involved in the services you provide?","Thin Client - the FactSet client software is a thin client that uses an installed front end to display data and integrate with Microsoft Office.  All analytics processing is performed and content originates from the datacenter.  The desktop client’s primary purpose is to render HTML content, control windowing for multi-monitor situations, and interface with Microsoft Office.

----

FactSet is a SaaS that uses an installed front end to display data and integrate with Microsoft Office.  All analytics processing is performed and content originates from the datacenter.  The desktop client’s primary purpose is to render HTML content, control windowing for multi-monitor situations, and interface with Microsoft Office.

--

Yes - FactSet is a SaaS that uses an installed front end to display data and integrate with Microsoft Office.  All processing is performed and content originates from FactSet’s datacenters.   The desktop client’s primary purpose is to render HTML content, control windowing for multi-monitor situations, and interface with Microsoft Office.  All aspects of the production process from secure file transfer to processing to storage to retrieval and transmission occurring on FactSet-owned resources.  Third parties are not involved.
",,,
"archiving, archive, data retention","Archiving capability

Allows for user specification of data archiving schedule","FactSet does not archive and maintains all client data in immediately accessible online storage.  Client data is backed up for a rolling 12 months, any data stored on our system is kept live for as long as a client remains a client.  

FactSet allows clients to extract any and all of their uploaded data for local archiving as required by the client, as long as data use is in compliance with client license agreement.
",,,
"ASP, architecture",Does FactSet offer a solution on our side of the firewall?,"All of commercial content (100s of TB) and processing power lives inside FactSet’s datacenters.  FactSet is considered a full ASP (application service provider).  So there is no FactSet solution that can be run completely in-house without direct connections to our datacenters.  In addition, all client settings and workspaces are stored at FactSet to provide proper security and for workspace synchronization if a local installation is deleted.",,,
"ASP, architecture",How many clients do you support on an ASP basis?  ,All FactSet clients adopt an ASP/SaaS model.,,,
"asset management, hardware, software","7) Please describe the measures, if any, your firm has in place to identify and catalogue your systems, applications and hardware (physical or virtual).",FactSet Systems Engineers and Operations staff maintains an inventory of all systems.,,,
asset tag,Are all hardware and software assets  tracked by a unique identifier such as an asset control tag or serial number?,Yes.  Asset tags are used.,,,
audit,Does your organization have an internal audit function?,"FactSet has a financial Audit Committee whose roles and responsibilities are outlined at https://investor.factset.com/investors/corporate-governance/default.aspx.  FactSet also has a Security Assurance group who perform internal security assessments on a regular basis.

--
(if required to put yes/no, put No)",12/6/2017,LCW,
audit,Have any security audits performed in the past 18 months resulted in any exceptions or findings?,FactSet does not release details about findings and exceptions.  Processes are in place to address weaknesses as they are identified based on criticality and risk assessment.,,,
audit,Does the service provider permit client audits and assessments?  Right to audit,"FactSet clients do not participate in, nor are they permitted to perform, FactSet system audits.  Upon reasonable request, FactSet clients are permitted to visit FactSet data centers to visually inspect FactSet’s controls.  At no point are FactSet clients or their subcontractors or agents permitted access to FactSet systems. FactSet peridocally engages third parties to perform security assessments of its environment and provides client with executive summary reports showing the results of these assessments. ",2/22/2018,LCW,
audit,whether the board has an audit and risk committee.,"FactSet has an audit committee, whose roles and responsibilities are outlined on our website at http://investor.factset.com/investors/corporate-governance/default.aspx",,,
audit,Would FactSet have any concerns with us completing a scan of FactSet’s public facing IP addresses? ,"FactSet does not permit scanning or penetration testing of it networks by its clients or other third parties not directly engaged by FactSet to perform this testing.  FactSet's security response procedures involve blocking this activity, which will result in the disruption of access to FactSet resources.",,,
audit log,Are security audit logs replicated to a separate and secure environment with the final intent to reduce the risk of deletion or modification?,Security logs are sent to a central SIEM for FactSet Security Team analysis.  ,,,
Audit Trail,Audit trail functionality / Audit trails,"Various workflows have different sets of audit trails.  FactSet Portfolio Services has a rich audit trail of production and data integrity workflows and results.  FactSet’s OMS, EMS, RMS, Analytics, Risk, Reporting, and Performance systems all have appropriate audit trails for their specific trading, research, publishing and official performance workflows.",9/29/2017,JMD,
Audit Trail,"What methods of auditing are used? (logs, database, etc.)","FactSet uses a variety of methods depending on the type of auditing in place, see above.  For any audit trail that is exposed to a client within application – a database would be the back-end store.  For all other transactions and actions, a central production logging system is leveraged.",9/29/2017,JMD,
Audit Trail,"Do you offer an audit trail / usage control package to audit / monitor data feeds usage through your solution? If yes, please describe","FactSet has a web portal called Control Center, which can be used to control Benchmark, OnDemand (webservice), Real-time Exchange Streaming, and Commercial Content Datafeeds – as well as Portfolio Integration, Analytics, Reporting and Delivery data timeliness/accuracy and workflow integrity.  This portal is also used to define Security Administration and interact directly with subject matter experts in FactSet via Issue Tracker web tickets.  

All orders, entitlements and access changes are centrally controlled and logged for auditability.
",9/29/2017,LCW,
Audit Trail,"Are audit trails (applications, networks, authentication) backed up and can they be retrieved?",Yes.  Retention of these logs varies by system and ranges up to several years. ,4/25/2017,JMD,
Authentication - FactSet Product,"Does your application lock after X attempts? (WORKSTATION ONLY, not Web)","If the logon process fails, the user will be prompted to go through the Autovalidate process, which requires access to the user’s corporate email address to receive a one-time passcode to re-gain access.  
",11/17/2017,LCW,
Authentication - FactSet Product,"Does your system leverage mutual authentication leveraging digital certificates for communications with other systems?  If no, what is used?","Yes, in addition to rotating keys.",9/29/2017,JMD,
Authentication - FactSet Product,Any known exceptions limit the use of non-alphanumeric characters for password composition?,"No limits, though OWASP encourages special characters as https://www.owasp.org/index.php/Password_special_characters  ",8/22/2017,JMD,
Authentication - FactSet Product,General password statement,"FactSet's workstation leverages a multi-factor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.  The dynamic token is a rotating SHA256 hash.  The token is dynamically updated and stored by both the client and FactSet's servers.  FactSet utilizes rotating dynamic key authentication along with binary end points managing session control within the workstation.  Once the workstation authenticates for the first time, subsequent logons are SSO using a file stored locally or on a user home drive (thus SSO via AD).   FactSet's web products leverage 2FA for interactive authentication and a random session identifier that is stored by authenticated browsers.  SAML2-based federation for secure single sign-on for web is offered.

---
Add to beginning as needed:

FactSet's workstation does not use personal passwords, and instead ...",6/7/2017,JMD,
Authentication - FactSet Product,Can two-factor authentication be enabled?,Two-factor authentication is mandatory for all clients.,6/7/2017,JMD,
Authentication - FactSet Product,"Does your application automatically terminate, or require re-authentication, after a period of inactivity?  Is that period of inactivity configurable?  Idle timeout","Yes.  Workstation - sessions have a maximum length of 12 hours for access to proprietary data, at which point a 7 minute idle timer is instantiated.  Inactivity before the 12 hour window will not cause a termination of the session.  This timeout cannot be altered.  FactSet relies on the Group Policy setting for the Windows idle-locking timer, which is defined by each firm, to enforce inactivity locking of each user’s machine.  Web - intelligent defaults for idle timeout session timeouts which are based on the Security Zone defined for each Source IP range.  Clients can modify the Session Timeout, Idle Timeout and 2FA frequency for various zones – High (60 min Idle), Medium (15 min Idle), Low (15 minute Idle) and can define which Source IP ranges fall into which zones.",6/7/2017,JMD,
Authentication - FactSet Product,General Web Access Policy,"Our intelligent defaults for client web-access policy are: History = 10 uses, Expiration = 60 days, Idle Timeout = 15 minutes, Session Timeout = 14 hours.  Passwords must contain 8 characters that meet three of the following: one uppercase, one lowercase, one number, one special character.  History, expiration, and timeouts can be adjusted firm-wide by a Security Officer to be more or less conservative with Control Center, FactSet’s web-based administrative console.

Use as needed:
FactSet’s web products are locked after 10 attempts and have a 1 hour auto unlock, or on-demand unlock via a password reset (forgot password).",,,
Authentication - FactSet Product,Password encrypted in storage?  What is the encryption strength?,Workstation - token is a SHA256 hash.    Web – no local storage.,,,
Authentication - FactSet Product,"Where are passwords stored?  
How are passwords protected?","Workstation - Authentication data for the installed FactSet application is stored in a configuration file that is a combination of static tokens and SHA256 hashed keys either on the local drive or on the user’s mapped home drive.  Aside from any privilege protections offered by your Active Directory setup, the file itself will render FactSet unusable if tampered with, and will require two-factor authentication again if copied to another user’s context (machine/drive).  Web – no local storage",,,
Authentication - FactSet Product,What is the minimum and maximum length of the user ID?  Can we assign the user ID?  Can we create the user ID?,The user ID (FactSet.net ID) is assigned by FactSet.  Typically it is firstname.lastname@factset.net.,,,
Authentication - FactSet Product,Is the user ID configurable?,No,,,
Authentication - FactSet Product,"Does the system allow the user to change their password when desired?  
Does the system prompt the user to change their password?  
Is the time interval configurable?","Yes.  Web - the password can be changed at any time and has a default expiration of 60 days.  The expiration timeframe can be adjusted firm-wide, by a Security Officer, to be more conservative or less so with Control Center, FactSet’s web-based administrative console.  Workstation - the dynamic token is updated on every login and is not user configurable.",,,
Authentication - FactSet Product,What is the  number of unsuccessful logon attempts?  Is it configurable?,10 login attempts are allowed.  This is not configurable.,,,
Authentication - FactSet Product,Does the system prevent the reuse of old access codes for a determined length of time? ,"Yes.  Our intelligent default for FactSet's web products is 10 uses.  This can be adjusted firm-wide, by a Security Officer, to be more conservative or less so with Control Center, FactSet’s web-based administrative console.",,,
Authentication - FactSet Product,Is the length of time or number of different access codes configurable? ,"Yes.  Our intelligent defaults for client web-access policy are History = 10 uses and Expiration = 60 days.  This can be adjusted firm-wide, by a Security Officer, to be more conservative or less so with Control Center, FactSet’s web-based administrative console.",,,
Authentication - FactSet Product,What is the message back to the user indicating that they have not been authenticated?,"The installed FactSet client software displays, ""User authorization failure.""  FactSet’s web products display, ""Invalid username or password.""",,,
Authentication - FactSet Product,"Are any user IDs and access codes embedded into the software, scripts or batch files? ",No,,,
Authentication - FactSet Product,Ability to use RSA Secure ID authentication (directly or through third party app such as RADIUS),No,,,
Authentication - FactSet Product,"Is there the ability to have single sign on across enterprise? SSO, single sign-on","Yes.  Our rotating key authentication mechanism is built upon our client’s AD Kerberos authentication in order to access a file, so essentially it is SSO authentication to your Active Directory.   SAML2 SSO federation is offered for direct access to FactSet Web (https://my.factset.com).
",,,
Authentication - FactSet Product,Password change requirements per user,"The expiration timeframe for FactSet’s web products can be adjusted firm-wide, by a Security Officer, to be more conservative or less so with Control Center, FactSet’s web-based administrative console.  Passwords can also be changed at any time by an individual user, and have a default expiration of 60 days. 
 
Interactive users leverage a rotating, salted key.  
",,,
Authentication - FactSet Product,Do you change passwords on a regular basis,"Interactive users leverage a rotating, salted key.   Machines that hit our on demand web services also leverage a rotating key – static passwords not used.",,,
Authentication - FactSet Product,Administrators can define password complexity policies,"Yes.  For client web-access, our intelligent defaults policy are: Length = 8 characters, History = 10 uses, Expiration = 60 days, Idle Timeout = 15 minutes, Session Timeout = 14 hours.  Passwords must contain 8 characters that meet three of the following: one uppercase, one lowercase, one number, one special character.  History, expiration, and timeouts can be adjusted firm-wide by a Security Officer to be more or less conservative with Control Center, FactSet’s web-based administrative console.
 
The installed FactSet application does not leverage personal passwords, but rather relies on a multifactor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.
",,,
Authentication - FactSet Product,Password resets,"FactSet AutoValidate provides self-service resets, which requires access to the user’s corporate email address to receive a one-time passcode to re-gain access.  FactSet’s web products allow users to change passwords on demand.  ",,,
Authentication - FactSet Product,Are new users forced to change passwords?,"Upon initial login to the installed FactSet client software, the user is prompted to enter their factset.net ID.  FactSet Autovalidate then sends a unique one-time passkey to the user's corporate email address on file with FactSet, which they must enter to gain access.  Thereafter, FactSet leverages a multi-factor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.

For FactSet Web, users create a password and are then required to go through the Autovalidate process to receive a one-time passcode to gain access.  
",,,
Authentication - FactSet Product,Is the reuse of historical passwords prevented?,"The default for FactSet's web products is 10 uses.  This can be adjusted firm-wide, by a Security Officer, to be more conservative or less so with Control Center, FactSet’s web-based administrative console.",,,
Authentication - FactSet Product,Password requirements for system accounts (for the FactSet application),FactSet does not require our clients/users to leverage System Accounts.,,,
Authentication - FactSet Product,Do you have a break-glass process with one-time password for privileged users and require appropriate authorization for each use,"All users are required to authenticate in order to access FactSet.  User entitlements can be modified by authorized administrators to add or remove access to data (File Manager).  Authentication parameters for web access (2FA frequency, source IP permissions, password history, expiration, session timeout, idle timeout) are all defined by Client Security Officers with full auditability.  All entitlements  / privileges are granted a la carte to user based either on requests to FactSet account team, or via self service. 
",,,
Authentication - FactSet Product,"Do you have step-up authentication before authorizing individuals who execute critical, sensitive or High Risk Transactions?","All users are required to authenticate in order to access FactSet.  FactSet’s File Manager facility allows an administrator at our clients to control the security of each Portfolio on the system – ensuring that only the right individuals have access to read/write each object.  Initial authentication (SSO or multifactor) is what is required to access system.  Post-logon re-authentication or step-up is not performed.
",,,
Authentication - FactSet Product,Are passwords communicated / distributed in a secure manner for all components of the system?,"FactSet may communicate the user's factset.net ID via email.  After initial login, FactSet generates a one-use security token which is used as part of the authentication process going forward and is sent only to a user’s corporate email address.  If another user attempted to use the same credentials they would receive an authentication failure.  FactSet communicates FTP / SFTP passwords by phone (for firms who choose not to use public/private keys for SFTP authentication).",,,
Authentication - FactSet Product,"Does the application allow multiple concurrent login?  If yes, are the multiple concurrent login sessions restricted to one workstation?",Attempts to log in via multiple devices will invalidate the previous session through the use of our Multi-Logon Prevention logic.  Users can log in from only one device at a time due to Real-time Exchange requirements.  ,1/30/2018,JMD,
Authentication - FactSet Product,"Does the application maintain its own User ID’s and passwords, or does it utilize an application independent authentication mechanism? What is the password change policy and what are the restrictions?","FactSet follows a SSO paradigm, requiring a user to first successfully login to Windows before they can use the FactSet application.  The FactSet application then leverages a multi-factor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.  The dynamic token is a SHA256 hash and is updated upon each login.",,,
Authentication - FactSet Product,"Passwords are not stored in a macro or function key, or otherwise retained by the system, but required to be entered on each login or access to critical functions.","FactSet follows a SSO paradigm, requiring a user to first successfully login to Windows before they can use the FactSet application.  Therefore, FactSet does not require the user to enter their login credentials in FactSet on every login.",,,
Authentication - FactSet Product,What end user authentication method does this application use?,Other (proprietary dynamic shared token) + SSO leveraging AD account verification for access to credential files.,,,
Authentication - FactSet Product,Able to authenticate and encrypt using digital certificates?,No,,,
Authentication - FactSet Product,Autovalidate / lockout,FactSet Autovalidate sends a unique one-time passkey to the corporate email address on file with FactSet.  The user must enter the one-time passkey to unlock the account.,,,
Authentication - FactSet Product,How long before the system automatically re enables an account after an account lockout?,"Users may attempt to unlock a locked account using FactSet Autovalidate.  If the user cannot successfully validate via Autovalidate, then they are required to contact FactSet to unlock the account.",,,
Authentication - FactSet Product,"Is a warning of password lifetime expiration given to the user prior to expiration, and at every login during that period?",No.  Self-service password reset and 2FA.,,,
Authentication - FactSet Product,Are passwords prohibited from being coded into login scripts?,This practice is discouraged,,,
Authentication - FactSet Product,"Are automated sign-on icon selected sign on and, user IDs and passwords run through executable scripts prohibited?",Programmatic access by code to our webservices uses a rotating key mechanism for API access.  Interactive access via scripts is discouraged and requires 2FA.,,,
"availability, accessibility, ",How do you ensure a high and stable system and system accessibility? Do you provide backup systems?,"FactSet maintains dual active datacenters, each of which can handle 100% of our client load.  All client configuration and content is stored within FactSet’s datacenters, and back-ups are handled by FactSet.  There is no need to back-up anything on the local PC.  FactSet data is replicated in near real-time across our two datacenters ensuring a recovery point within minutes of a service affecting event.  Daily tape backups are performed and stored locally at each site.    ",,,
"availability, failover","Describe the architecture you will use to ensure the high availability of the solution, as well as the management of failover.","FactSet operates two datacenters in hot/hot mode, each of which is designed to run at 40% capacity or less.  The DR/BC design of our SaaS ecosystem is to handle full interactive/ad-hoc and batch load of our clients in a single datacenter in perpetuity.  The recovery of access to FactSet’s services is an automated function not requiring user intervention.  FactSet users need only reconnect in the event of an outage to resume their session.",,,
"availability, maintenance","Describe what access (if any) end users have during this batch processing. In your answer, specifically discuss the ability to update records (deals, securities, etc.).","FactSet service remains fully available.  Users typically do not open Portfolios for editing during batch cycles – if they are manually editing records, it will write-lock out a batch process.",,,
Background Checks,"Background Checks, General Statement","Background checks are currently in place for new hires based in all of our large international offices, including the US, UK, India, and Manila.  Background checks include civil and criminal record checks, professional and academic background confirmations, motor vehicle record checks and credential and social security number verifications.  Employees in France are required to present labor certificates and documentation confirming academic certifications. A background check for our smaller international offices is in the process of being implemented.  In those locations FactSet collaborates with the respective government agencies and performs reference checks in addition to passport confirmations.

----

**Specifics on Singapore (not generally required***
FactSet has recently began conducting background checks for industry hires for their Singapore office.

---
Use when we don't have an NDA/MCLA: 

FactSet conducts appropriate screening for all employees in all locations, which includes background checks where appropriate.  We do not have the same procedures in every location or for every position.",8/21/2017,LCW,
"Background Checks, Credit Checks",Why don't you include credit checks in your background check?,Credit checks have been ruled as illegal in several states.  For consistency we no longer include this as part of our reference check process.  ,8/21/2017,LCW,
"backup, tape",Tape silos,"FactSet's backup policy maintains daily snapshots of client data up to a week, weekly snapshots up to a month and monthly snapshots up to a year.
 
FactSet backup tapes are stored full-time in secured fully-automated tape silo systems.  FactSet operations staff has access to the tape silos to insert new tapes or replace existing tapes.  No tapes are ever shipped for any reason and all tapes removed from the silo are destroyed immediately following FactSet’s media destruction policy.  All access to the tape silos is centrally logged.",,,
"batch, batching","Can the batch processes be controlled by a batch scheduling engine?  If so, is there a specific package required or is the scheduling engine integrated into your system?","Yes, FactSet Cornerstone is a Web-based, easy to use batching utility that lets you access vast quantities of data directly from FactSet's data libraries. Cornerstone provides the tools you need to specify the sources of data and the layout of the resulting data sets. You can then FTP this data, at a time and date you specify, directly to your workstation or file server for further processing. This FTP process can either be initiated by you to FactSet or by FactSet to you.",,,
"batch, batching, webservices, web services, standard format, standard formats, data integration",If applicable which standards and formats are supported?,"FactSet has turn-key integration with many commercial software vendors (Accounting, IBOR, OMS, EMS, etc.) and custodians.  Webservices vary, but employ JSON and/or XML as a primary syntax, whereas some services are also RESTful.  FactSet’s EMS leverages the FIX protocol for communication.

The use of specific data formats for inbound or outbound data will depend on a client’s workflows and the systems involved.  FactSet’s frameworks allow for flexibility on our part.
",,,
"batch, batching, webservices, web services, standard format, standard formats, data integration","What type of interfacing do you support? Batch? Message based?

Can calculations be batched?","FactSet supports interactive and batch processes at this time.  FactSet has its own job scheduling infrastructure and engines to batch out calculations for Portfolio Analytics, Risk, Alpha Testing, Portfolio Simulation, Universal Screening and Data Downloading, among others. ",,,
