Ques Num,Question/Request,Response,Maturity,Additional Information,AUP Reference,ISO 27002:2013 Relevance,,SIG Tab
A.2.5.4,Control Effectiveness?,Yes,,,,,,Risk Assessment
A.2.5.5,Vulnerability Management?,Yes,,,,,,Risk Assessment
A.3,"Do Subcontractors have access to Scoped Systems and Data? (backup vendors, service providers, equipment support maintenance, software maintenance vendors, data recovery vendors, etc.)? If yes, is there:",No,,"With the exception of third party data feeds and datacenter facility providers, no services delivered to clients or involving client data are outsourced to third parties.  Third parties do not have access to client data.  ",,15,Supplier relationships,Risk Assessment
A.4,Is there a vendor management program?,Yes,4,Please see A.3,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1,"Does the vendor management program include an individual or group responsible for capturing, maintaining and tracking subcontractor information security issues? If yes, is there:",No,,An initital due diligence assessment is performed on specific vendors.  ,,,,Risk Assessment
A.4.1.1,"Risk rating of the issue (e.g., H/M/L, 1-5, etc.)?",No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.2,Remediation plans?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.3,Remediation date?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.4,Escalation procedure if remediation not met?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.5,Escalation procedure if the remediation date is not met?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.6,Sign-off when remediation is fully implemented?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.7,"Reporting on remediation? If yes, does it include:",No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.7.1,Identification of stakeholders?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.4.1.7.2,Reporting frequency?,No,,,A.5 Vendor Risk Management Program,,,Risk Assessment
A.5,"Do external parties have access to Scoped Systems and Data or processing facilities? If yes, is:",N/A,,Please see A.3,,15,Supplier relationships,Risk Assessment
A.6,"Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?",Yes,5,,,17.1.3,"Verify, review and evaluate information security continuity",Risk Assessment
A.7,"Are there regular privacy risk assessments conducted? If yes, provide frequency and scope. If no, explain reason.",Yes,5,Please see A.1,P.3 Privacy Organization and Program Maintenance,15.1.3.i ,Information and communication technology supply chain,Risk Assessment
A.7.1,Are identified privacy risks and associated mitigation plans formally documented and reviewed by management?,Yes,,,P.3 Privacy Organization and Program Maintenance,15.1.1.l,Information security policy for supplier relationships,Risk Assessment
A.7.2,Are reasonable resources (in time and money) allocated to mitigating identified privacy risks?,Yes,,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment
A.8,Is there a compliance risk management system that addresses the quality and accuracy of reported consumer data?,Yes,5,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment
A.9,Is there a compliance risk management system that addresses the quality of assembling and maintaining the data?,Yes,5,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment
B.1,"Is there an information security policy that has been approved by management, communicated to constituents and an owner to maintain and review the policy? If yes, does the policy include:",Yes,5,Clients can refer to FactSet's Security and Governance whitepaper.,B.1 Information Security Policy Maintenance,5.1.1,Policies for information security,Security Policy
B.1.1,Risk assessment?,Yes,,,A.1 IT & Infrastructure Risk Governance,,,Security Policy
B.1.2,Risk management?,Yes,,,A.1 IT & Infrastructure Risk Governance,,,Security Policy
B.1.3,Security awareness training/education?,Yes,,,,,,Security Policy
B.1.4,Business continuity?,Yes,,,,,,Security Policy
B.1.5,Consequences for non-compliance with corporate policies?,Yes,,,,,,Security Policy
B.1.6,Responsibilities for information security management?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.7,Acceptable use?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.8,Access control?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.9,Application security?,Yes,,,,,,Security Policy
B.1.10,Change control?,Yes,,,,,,Security Policy
B.1.11,Clean desk?,No,,"FactSet minimizes the use of paper records by relying on electronic systems.  FactSet does not have a secure desk policy, however, printers and common work areas are checked nightly and any leftover papers or whiteboard notes are erased or destroyed.  FactSet also trains employees to securely store confidential documents or dispose of them in secure shred bins when the document no longer serves a business need. ",,5.1.1,Policies for information security,Security Policy
B.1.12,Computer and communication systems access and use?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.13,Data handling?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.14,Desktop computing?,Yes,,,,,,Security Policy
B.1.15,Disaster recovery?,Yes,,,,,,Security Policy
B.1.16,Email?,Yes,,,,,,Security Policy
B.1.17,Constituent accountability?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.18,Encryption?,Yes,,,,,,Security Policy
B.1.19,Exception process?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.20,Information classification?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.21,Internet/Intranet access and use?,Yes,,,,,,Security Policy
B.1.22,Mobile computing?,Yes,,,,,,Security Policy
B.1.22.1,Terms of Use for Mobile Devices?,Yes,,,,,,Security Policy
B.1.23,Network security?,Yes,,,,,,Security Policy
B.1.24,Operating system security?,Yes,,,,,,Security Policy
B.1.25,Personnel security and termination?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.26,Physical access?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.27,Policy maintenance?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.28,Remote access?,Yes,,,,,,Security Policy
B.1.29,Security incident and privacy event management?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.30,Secure disposal?,Yes,,,,,,Security Policy
B.1.31,"Social media, social networking?",Yes,,,,,,Security Policy
B.1.32,Vulnerability management?,Yes,,,,5.1.1,Policies for information security,Security Policy
B.1.33,"Have the policies been reviewed in the last 12 months? If yes, did the review include:",Yes,,,B.1 Information Security Policy Maintenance,5.1.2,Review of the policies for information security,Security Policy
B.1.33.1,Approval by the owner?,Yes,,,B.1 Information Security Policy Maintenance,,,Security Policy
B.1.33.2,"An assessment of opportunities for improvement in response to changes to the organizational environment, business circumstances, legal conditions or technical environment?",Yes,,,B.1 Information Security Policy Maintenance,,,Security Policy
B.1.33.3,Recommendations provided by relevant authorities?,Yes,,,,5.1.2,Review of the policies for information security,Security Policy
B.1.34,"Is the information security policy communicated? If yes, is it communicated to:",Yes,,,B.2 Information Security Standards,5.1.1,Policies for information security,Security Policy
B.1.34.1,Full time constituents?,Yes,,,"B.2 Information Security Standards
E.1 Security Awareness Training Program",5.1.1,Policies for information security,Security Policy
B.1.34.2,Part time constituents?,Yes,,,"B.2 Information Security Standards
E.1 Security Awareness Training Program",5.1.1,Policies for information security,Security Policy
B.1.34.3,Contractors?,Yes,,Third parties do not have access to client data.,"A.12 Subcontractor Information Security Policy and Standards
B.2 Information Security Standards",5.1.1,Policies for information security,Security Policy
C.1,"Is there an information security function responsible for security initiatives? If yes, does it include:",Yes,5,"FactSet has a Security Team that is dedicated to ensuring the security of FactSet systems and services with the ultimate goal of preventing unintended or unauthorized access or disclosure of client data stored in this environment.  FactSet’s Security Assurance team reports to FactSet's CIO, and FactSet's Security Infrastructure and Security Operations teams report to the Director of Systems Infrastructure.

- FactSet’s Security Assurance group (SAG) manages information security risk through the routine practice of performing secure code and design reviews and training, penetration testing, vulnerability scanning and threat mitigation management following industry best practices

- FactSet’s Security Infrastructure group (SIG) manages the enforcement of FactSet’s security policies through security controls management, employee security awareness training, incident response and general security oversight

- FactSet’s Security Operations group (SOC) provides continuous operational support for responding to a broad spectrum of security incidents through the proactive detection of concerning activity collected, and reactive response to alerts generated by FactSet’s central logging and SIEM platforms",C.1 Security Organization Roles/Responsibilities,6.1.1,Information Security Roles and Responsibilities,Organizational Security
C.1.1,"Creation, review and approval of information security policies?",Yes,,,B.2 Information Security Standards,5.1.2,Review of the policies for information security,Organizational Security
C.1.2,Review the effectiveness of information security policy implementation?,Yes,,,B.2 Information Security Standards,5.1.2,Management commitment to information security,Organizational Security
C.1.3,Roles and responsibilities for information security?,Yes,,,B.2 Information Security Standards,6.1.1.c,Management commitment to information security,Organizational Security
C.1.4,Develop and maintain an overall strategic security plan?,Yes,,,B.2 Information Security Standards,6.1,Internal Organization,Organizational Security
C.1.5,Consistent implementation of information security across the organization?,Yes,,,B.2 Information Security Standards,5.1.1,Policies for Information security,Organizational Security
C.1.6,Review and monitor information security / privacy incidents or events?,Yes,,,,18.2.1,Independent review of information security,Organizational Security
C.1.7,Monitor significant changes in the exposure of information assets?,Yes,,,,6.1.1,Information Security Roles and Responsibilities,Organizational Security
C.1.8,"Contacts with information security special interest groups, specialist security forums or professional associations?",Yes,,,,6.1.4,Contact with special interest groups,Organizational Security
C.1.9,Manage instances of non-compliance with security policies?,Yes,,,,18.2.2,Compliance with security policies and standards,Organizational Security
D.1,"Is there an asset management policy approved by management, communicated to constituents and an owner to maintain and review? If yes, does it include:",Yes,5,,D. Asset and Information Management,8.1,Responsibility for Assets,Asset and Information Management
D.1.1,Acceptable use of assets?,Yes,,,D.1 Asset Accounting and Inventory,8.1.1,Inventory of Assets,Asset and Information Management
D.1.2,Asset control tag?,Yes,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.1.3,Operating system?,Yes,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.1.4,Physical location?,Yes,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.1.5,Serial number?,Yes,,,,,,Asset and Information Management
D.1.6,Business function supported?,Yes,,,,,,Asset and Information Management
D.1.7,"Environment (dev, test, etc.)?",Yes,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.1.8,IP address?,Yes,,,,,,Asset and Information Management
D.1.9,"Is ownership assigned for assets? If yes, is the owner responsible to:",Yes,,,,8.1.2,Ownership of Assets,Asset and Information Management
D.1.10,Appropriately classify information and assets?,Yes,,,,8.2.1,Classification of Information,Asset and Information Management
D.1.11,Review and approve access to those information and assets?,Yes,,,,8.1.2,Ownership of Assets,Asset and Information Management
D.1.12,"Establish, document and implement rules for the acceptable use of information and assets?",Yes,,,,8.1.3,Acceptable Use of Assets,Asset and Information Management
D.2,Is information classified?,Yes,5,,D.1 Asset Accounting and Inventory,8.2.1,Classification of Information,Asset and Information Management
D.2.1,"Is there an information asset classification policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes,,,D.1 Asset Accounting and Inventory,8.2.1,Classification of Information,Asset and Information Management
D.2.2,"Is there a procedure for handling of information? If yes, does it include:",Yes,,,D.1 Asset Accounting and Inventory,8.2.3,Handling of Assets,Asset and Information Management
D.2.2.1,Ownership?,Yes,,,D.1 Asset Accounting and Inventory,8.1.2,Ownership of Assets,Asset and Information Management
D.2.2.2,Access controls including authorization?,Yes,,,,8.2.3,Handling of Assets,Asset and Information Management
D.2.2.3,Labeling?,Yes,,,,8.2.2,Labeling of information,Asset and Information Management
D.2.2.4,Removable media?,Yes,,,D.4 Removable Device Security,8.3.1,Management of Removable Media,Asset and Information Management
D.2.2.5,Movement in transit?,Yes,,,D.3 Security of Media in Transit,8.3.3,Physical media transfer,Asset and Information Management
D.2.2.6,Encryption?,Yes,,,D.5 Data Security Policy - Encryption,10.1.1,Policy on the use of cryptographic controls,Asset and Information Management
D.2.2.7,Storage?,Yes,,,D.1 Asset Accounting and Inventory,11.2.6,Security of equipment and assets off-premise,Asset and Information Management
D.2.2.8,Reclassification?,Yes,,,D.1 Asset Accounting and Inventory,8.1.2,Ownership of Assets,Asset and Information Management
D.2.2.9,Retention?,Yes,,,D.8 Asset Destruction and Disposal,,,Asset and Information Management
D.2.2.10,Destruction?,Yes,,,D.8 Asset Destruction and Disposal,8.1.2,Ownership of Assets,Asset and Information Management
D.2.2.11,Disposal?,Yes,,,D.8 Asset Destruction and Disposal,8.3.2,Disposal of Media,Asset and Information Management
D.2.2.12,Reviewed at least annually?,Yes,,,D.1 Asset Accounting and Inventory,8.1.2,Ownership of Assets,Asset and Information Management
D.2.2.13,Handling based on classification?,Yes,,,D.1 Asset Accounting and Inventory,8.2.3,Handling of Assets,Asset and Information Management
D.2.2.14,Media destruction?,Yes,,,D.8 Asset Destruction and Disposal,8.3.2,Disposal of Media,Asset and Information Management
D.2.2.15,"Reuse of media (tapes, disk drives, etc.)?",Yes,,,D.1 Asset Accounting and Inventory,11.2.7,Secure Disposal or Re-Use of Equipment,Asset and Information Management
D.2.3,"A data retention/destruction schedule? If yes, is it:",No,,Data is retained for business purposes in accordance to regulatory requirements.,D.1 Asset Accounting and Inventory,8.3,Media Handling,Asset and Information Management
D.2.3.1,Online: disk?,N/A,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.2.3.2,"Offline: media: (e.g., DLT, DVD)?",N/A,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.2.3.3,Online: data managed by third party vendors?,N/A,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.2.3.4,Offline: data managed by third party vendors?,N/A,,,D.1 Asset Accounting and Inventory,,,Asset and Information Management
D.3,"Is client Scoped Data deleted in such a manner that the data is not recoverable during normal means ? e.g. using NIST 800 88 destruction, etc.",Yes,5,FactSet has adopted multiple record destruction mechanisms depending on media type.  FactSet's Hard disk Disposal policy requires the use of tools like DBAN to securely wipe media for reuse or prior to shipping.  Non-functioning media are physically destroyed onsite.,D.8 Asset Destruction and Disposal,,,Asset and Information Management
D.4,"Is there a removable media policy or program (CDs, DVDs, tapes, disk drives) that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? If yes, is:",Yes,4,"The use of removable media is not considered acceptable use.  FactSet has policies in place that govern acceptable use for accessing and copying data for the purpose of support.  Access to production systems as well as client data is monitored, logged, and limited to individuals in support and client facing roles.  FactSet employees specify a business case for each request to access client data.  Clients may subscribe to Access Audit to receive timely copies of logs containing the stated business cases.  Actions being performed on tagged client data, that violate FactSet's security policy, alert the FactSet Security Team who immediately investigates the incident.  

For our Enterpise Hosting environments (single-tenant), FactSet designates specific administrators with access to Client Pods.  Access to the environment is based on employee role and segregation of administrative duties is in place.  Additionally access is only allowed from a whitelisted set of internal hosts.

FactSet is actively investigating improvements to its Data Leakage Prevention program to cover removable media.",D.4 Removable Device Security,8.3.1,Management of Removable Media,Asset and Information Management
D.4.1,A requirement to encrypt sensitive data exists?,No,,"For our multi-tenant ecosystem, FactSet leverages various file-based, object and database classes of secure client datastores – some of which are encrypted at rest, while some are not – however all participate in total logical isolation of content with appropriate controls. FactSet's overall strong security posture and policy includes encryption-at-rest for certain key sensitive proprietary datasets.   For our single-tenant Enterprise Hosting environments, FactSet offers optional encryption-at-rest on a per-pod basis.",D.5 Data Security Policy - Encryption,8.3.1.d 10.1.1.Section2a ,"Management of removable media, Policy on The Use of Cryptographic Controls",Asset and Information Management
D.4.2,"Is all media containing Scoped Systems and Data disposed of securely to prevent recovery? If yes, is it:",Yes,,FactSet's Hard disk Disposal policy requires the use of tools like DBAN to securely wipe media for reuse or prior to shipping.  Non-functioning media are physically destroyed onsite.,D.8 Asset Destruction and Disposal,8.3.2,Disposal of Media,Asset and Information Management
D.4.2.1,Logged to maintain an audit trail?,Yes,,,D.8 Asset Destruction and Disposal,8.3.2.e,Disposal of Media,Asset and Information Management
D.4.2.2,Made unrecoverable (wiped or overwritten) prior to asset reuse?,Yes,,,D.8 Asset Destruction and Disposal,8.3.1.a 11.2.7 ,"Disposal of media, Secure disposal or re-use of equipment",Asset and Information Management
D.4.2.3,Inventoried at least quarterly?,No,,,D.8 Asset Destruction and Disposal,8.1.1 ,Inventory of Assets,Asset and Information Management
D.4.2.4,Included in data retention review process?,Yes,,,,8.3,Media Handling,Asset and Information Management
D.5,"Is Scoped Data sent or received via physical media? If yes, are there:",No,,,D.2 Physical Media Tracking,8.3.3,Physical Media in Transit,Asset and Information Management
D.6,"Is Scoped Data sent or received electronically? If yes, is there:",Yes,5,,,,,Asset and Information Management
D.6.1,Encryption in transit while outside the network?,Yes,,"FactSet leverages HTTPS (SSL) and OpenSSL encryption to protect proprietary data in transit. For file transfers, FactSet supports SFTP.  STARTTLS is leveraged for SMTP.",D.6 Network Management - Encrypted Authentication Credentials,13.2.1.f,Information Transfer Policies and Procedures,Asset and Information Management
D.6.2,Encryption in transit within the network?,No,,Internal communications are not required to be encrypted on server-to-server communication.,D.6 Network Management - Encrypted Authentication Credentials,13.2.1.f,Information Transfer Policies and Procedures,Asset and Information Management
D.6.3,Protection against malicious code by network virus inspection or virus scan at the endpoint?,Yes,,,,13.2.1.b,Information Transfer Policies and Procedures,Asset and Information Management
D.6.4,Integrity of data validation following any transmission?,Yes,,,D.3 Security of Media in Transit,13.2.4,Confidentiality or Non-disclosure Agreements,Asset and Information Management
D.6.5,"Enforcement of policies, procedures, and controls for transfering information?",Yes,,,D.3 Security of Media in Transit,13.2.1,Information Transfer Policies and Procedures,Asset and Information Management
D.6.6,"Encryption of e-mail, chat and other messaging technologies?",Yes,,"FactSet's email gateways are configured to leverage STARTTLS to encrypt emails sent between FactSet and client email gateways, when similarly configured on client email gateways.",D.5 Data Security Policy - Encryption,13.2.3,Electronic Messaging,Asset and Information Management
D.6.7,Encryption when sent through email?,Yes,,See D.6.6,D.5 Data Security Policy - Encryption,13.2.1.f,Information Transfer Policies and Procedures,Asset and Information Management
D.6.8,Content filtering scans performed on incoming/outgoing email to enforce email policy?,Yes,,,D.5 Data Security Policy - Encryption,12.2.1.d,Controls against malware,Asset and Information Management
D.7,"Are encryption tools managed and maintained for Scoped Data? If yes, is there:",Yes,5,"For our multi-tenant ecosystem, FactSet leverages various file-based, object and database classes of secure client datastores – some of which are encrypted at rest, while some are not – however all participate in total logical isolation of content with appropriate controls. FactSet's overall strong security posture and policy includes encryption-at-rest for certain key sensitive proprietary datasets.   For our single-tenant Enterprise Hosting environments, FactSet offers optional encryption-at-rest on a per-pod basis.  In CY18, FactSet will offer disk-level encryption in our multi-tenant environment as an option to our clients.",D.5 Data Security Policy - Encryption,10.1,Cryptographic controls,Asset and Information Management
D.7.1,An encryption policy?,Yes,,See D.7,D.5 Data Security Policy - Encryption,10.1.1,Policy On The Use Of Cryptographic Controls,Asset and Information Management
D.7.2,Encryption in storage / at rest?,Yes,,See D.7,D.5 Data Security Policy - Encryption,10.1.1 Section 2.a,Policy On The Use Of Cryptographic Controls,Asset and Information Management
D.7.3,Is Confidential Information stored in files or a database?,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.1,Is Confidential Information stored in files? If yes is:,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.1.1,File/folder-level encryption enabled?,No,,See D.7,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.1.2,Full-disk encryption enabled?,No,,See D.7,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.2,Is Confidential Information stored in a database? If yes is:,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.2.1,Database segmentation (i.e. separate database instance for each client)?,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.2.2,Database encryption enabled?,No,,See D.7,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.2.2.1,Column/Field Encryption enabled?,No,,See D.7,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.3.2.2.2,Tablespace Encryption enabled?,No,,See D.7,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.4,Is staff (Group or individual) responsible for maintaining the encryption keys?,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.4.1,Does the responsible group or individual have access to systems containing tenants' encrypted Confidential Information?,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.4.2,Does the responsible group or individual have the ability to view an unencrypted version of the Highly Confidential Information?,Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.5,Is there an option for tenants to manage their own encryption keys?,No,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.6,Is there a centralized key management system?,Yes,,,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management
D.7.7,Are Encryption keys encrypted at rest and when transmitted?,Yes,,,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management
D.7.8,Is there segregation of duties between key management duties and normal operational duties?,Yes,,,,6.1.2,Segregation Of Duties,Asset and Information Management
D.7.9,Is there Key/certificate sharing between production and non-production?,Yes,,,,12.1.4.g,"Separation Of Development, Test, And Operational Facilities",Asset and Information Management
D.7.10,Are default certificates provided by vendors replaced with proprietary certificates?,No,,,,10.1.2.e,Key Management,Asset and Information Management
D.7.11,Is there segregation of access to both parts of an asymmetric key?,Yes,,,,10.1.2.d,Key Management,Asset and Information Management
D.7.12,Is Asymmetric encryption key length a minimum of 2048 bit?,Yes,,,,,,Asset and Information Management
D.7.13,Are clients provided with the ability to generate a unique encryption key?,No,,FactSet generates unique keys for SFTP only.  Disk-level encryption is not client-generated.,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management
D.7.14,Are clients provided with the ability to rotate their encryption key on a scheduled basis?,Yes,,For SFTP keys.,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management
D.7.15,"Are the encryption keys generated in a manner consistent with key management industry standards? If so, does the key generation and management occur within a:",Yes,,,D.5 Data Security Policy - Encryption,,,Asset and Information Management
D.7.15.1,"Software Program? e.g. bouncycastle, OpenSSL",Yes,,,,,,Asset and Information Management
D.7.15.2,Hardware Encryption Module (HSM) e.g. NIST FIPS 140 2,No,,,,,,Asset and Information Management
D.8,Are staff able to access client Scoped Data in an unencrypted state?,Yes,5,"See D.7.  Appropriate FactSet staff, which can include sales and support staff, developers and systems engineers, have non-admin access to our systems and client information via a virtualized, non-persistent, time-limited, sandbox environment.  Access to production systems as well as client data is monitored and logged.  FactSet employees specify a business case for each request to access client data.  Clients may subscribe to Access Audit to receive timely copies of logs containing the stated business cases.  Actions being performed on tagged client data, which violates FactSet's security policy, alert the FactSet Security Team who immediately investigates the incident.  

For our Enterpise Hosting enviornments (single-tenant), FactSet designates specific administrators with access to Client Pods.  Access to the environment is based on employee role and segregation of administrative duties is in place.  Additionally access is only allowed from a whitelisted set of internal hosts.

Third parties do not have access to client data.",H.3 Logical Access Authorization,"9.2.3
9.4.6",Management of privileged access rights Information access restriction,Asset and Information Management
D.8.1,Are staff able to access client's encryption keys? If yes:,Yes,,For SFTP keys.,H.3 Logical Access Authorization,"9.2.3
9.4.7",Management of privileged access rights Information access restriction,Asset and Information Management
D.8.1.1,Are staff that can access client's encryption keys prevented from accessing production data?,No,,See D.8.,,,,Asset and Information Management
D.9,"Are different data classification zones (e.g., production networks, PCI networks) available where clients may specify where their data will be stored?",No,,,P.6 Management of Client Scoped Privacy Data,,,Asset and Information Management
D.10,Are clients provided with the ability to specify in which data center their data will be stored?,Yes,5,"Core FactSet is hosted out of our primary datacenters in New Jersey and Virginia, United States only.  Single-tenant applications can be hosted across any of our regional datacenters, including New Jersey, Virginia, Tokyo, Sydney, Hong Kong, Frankfurt, and London.",P.6 Management of Client Scoped Privacy Data,,,Asset and Information Management
D.11,"Is data segmentation and separation capability between clients provided? If yes, is it:",Yes,5,"FactSet is a multi-tenant solution, and utilizes layered security controls to enforce proper separation and access authorization of client data.  Client workspaces, access entitlements, and storage are logically separated via operating system and application layer security models.  Client data are stored in separate databases unique to that client.  ",V.1 Service and Deployment Models,9.4.1 ,Information access restriction,Asset and Information Management
D.11.1,Physical segmentation (private cloud)?,Yes,,"Core FactSet is multi-tenant.  FactSet's Enterprise Hosting is a single-tenant purpose-built, application-optimized private cloud. Only entitled users from a client have access to that client's environment.",,9.4.1 ,Information access restriction,Asset and Information Management
D.11.2,Network segmentation?,Yes,,,,9.4.1 ,Information access restriction,Asset and Information Management
D.11.3,"Operating System segmentation (unique Operating System instances, e.g., virtualization)?",Yes,,,,9.4.1 ,Information access restriction,Asset and Information Management
